,brand,model,operation_mode,feed_opening_shape,body_material,liner_material,applicable_number,power,cooking_function,function,capacity,speed_adjustment,type,cup_material,speed,status
1042,金满圆,J-902,,,,,5人以上,2000-2200W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",1.75L容量,2档,,玻璃,45000-49999转/分钟,0
1043,lienruib/力恩瑞博,LN-0720,,,,,5人以上,1600-1800W,,"绞肉,搅拌,磨粉,米糊,果泥,奶昔,豆浆,榨汁",2L容量,2档,,Tritan材料,25000-29999转/分钟,0
1044,hanwei/韩伟,CB-601,,,,,4-5人,1600-1800W,,"搅拌,和面,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.85L容量,2档,,食品级ABS材料,45000-49999转/分钟,0
1045,bear/小熊,QSJ-B03E1,,,,,4-5人,200-400W,,"绞肉,搅拌,切菜,碎肉",2L容量,2档,,玻璃,0-4999转/分钟,0
1046,breville/铂富,BJE500F,,圆形,金属,,4-5人,1800-2000W,,榨汁,1.2L容量,2档,,塑料,10000-14999转/分钟,0
1047,geuwa/钜华,KD-380,,月牙形,塑料,,1-3人,200-400W,,榨汁,0.5L容量,2档,,,15000-19999转/分钟,0
1048,欧美爵士,BL332S-C,,圆形,塑料,,4-5人,400-600W,,"碎冰,搅拌,制奶昔,榨汁",1.3L容量,2档,,塑料,20000-24999转/分钟,0
1049,bear/小熊,ZZJ-B04V1,,圆形,不锈钢,,1-5人,400-600W,,"搅拌,榨汁,干磨,绞肉",0.5L容量,2档,,不锈钢,15000-19999转/分钟,0
1050,凌力,XZ8001,,圆形,塑料,,2-3人,200-400W,,"搅拌,榨汁,豆浆,研磨",1L容量,3档,,食品级PC材料,20000-24999转/分钟,0
1051,midea/美的,MJ-BL25C4,,,,,4-5人,200-400W,,"搅拌,干磨,绞肉",,3档,,食品级材料,15000-19999转/分钟,0
1052,nintaus/金正,JZM-3001,,,不锈钢,,1-3人,200-400W,,"搅拌,制奶昔,榨汁,混合",,3档,,Tritan材料,20000-24999转/分钟,0
1053,jinxiong/金熊,Jx2518,,,,,1-3人,200-400W,,搅拌,0.48L,3档,,食品级PC材料,30000-34999转/分钟,0
1054,xianchun/鲜纯,BL05E,,,,,4-5人,200-400W,,"搅拌,和面,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",0.75L容量,3档,,Tritan材料,20000-24999转/分钟,0
1055,jinxiong/金熊,JX2816,,,,,4-5人,200-400W,,"搅拌,碎肉,制奶昔,混合,绞肉,辅食,碎冰,榨汁,干磨",0.45L,3档,,,30000-34999转/分钟,0
1056,jinxiong/金熊,JX2928,,,,,5人以上,200-400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,干磨",0.5L,3档,,,30000-34999转/分钟,0
1057,supor/苏泊尔,JG21-300,,,,,1-3人,200-400W,,"碎冰,搅拌,榨汁,干磨",,3档,,玻璃,20000-24999转/分钟,0
1058,oster/奥士达,BLSTUS-073,,,,,1-3人,200-400W,,"搅拌,榨汁,混合",0.8L容量,3档,,玻璃,15000-19999转/分钟,0
1059,fulaier/福莱尔,FLE-219F,,,,,4-5人,200-400W,,"搅拌,和面,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",1.15L容量,3档,,玻璃,30000-34999转/分钟,0
1060,bear/小熊,LLJ-A12A1,,,,,5人以上,200-400W,,"搅拌,榨汁,干磨,混合",1.2L容量,3档,,玻璃,20000-24999转/分钟,0
1061,deerma/德尔玛,BL-747,,,,,3-6人,200-400W,,"碎冰,搅拌,制奶昔,榨汁",,3档,,玻璃,20000-24999转/分钟,0
1062,hattiecs/海蒂诗,RBM-316,,圆形,不锈钢,,,200-400W,,"搅拌,碎肉,制奶昔,米糊,辅食,磨粉,豆浆,碎冰,榨汁,干磨",,3档,,玻璃,20000-24999转/分钟,0
1063,joyoung/九阳,JYL-C19V,,,,,2-4人,200-400W,,"搅拌,制奶昔,绞肉,辅食,豆浆,榨汁,干磨",,3档,,塑料,20000-24999转/分钟,0
1064,joyoung/九阳,JYL-C022,,,,,2-5人,200-400W,,"碎冰,搅拌,干磨,碎肉",,3档,,塑料,20000-24999转/分钟,0
1065,midea/美的,BM255,,,,,3-4人,200-400W,,"碎冰,搅拌,制奶昔,榨汁",1L容量,3档,,塑料,20000-24999转/分钟,0
1066,supor/苏泊尔,JS39D-250,,圆形,塑料,,3-5人,200-400W,,"碎肉,搅拌,制奶昔,果酱,绞肉,榨汁,干磨",1L容量,3档,,塑料,20000-24999转/分钟,0
1067,supor/苏泊尔,JS30-230,,,,,1-3人,200-400W,,"搅拌,榨汁,干磨,碎肉",,3档,,塑料,20000-24999转/分钟,0
1068,midea/美的,MJ-JE25C21,,圆形,塑料,,1-3人,200-400W,,"搅拌,榨汁,干磨,豆浆,碎肉",1L容量,3档,,塑料,15000-19999转/分钟,0
1069,supor/苏泊尔,JS10-230,,,,,1-3人,200-400W,,"搅拌,碎肉,切菜,打蛋,豆浆,碎冰,榨汁,干磨",1L容量,3档,,塑料,20000-24999转/分钟,0
1070,奥丁,YM-503,,,,,4-5人,200-400W,,"搅拌,切丝/切片,碎肉,制奶昔,混合,绞肉,榨汁,干磨",1.3L容量,3档,,塑料,20000-24999转/分钟,0
1071,peskoe/半球,HB-M105,,,,,4-5人,200-400W,,"搅拌,制奶昔,绞肉,豆浆,碎冰,榨汁,干磨",1.5L容量,3档,,塑料,20000-24999转/分钟,0
1072,midea/美的,BL25C36,,,,,4-5人,200-400W,,"碎冰,搅拌,榨汁,豆浆,碎肉",1.25L容量,3档,,塑料,15000-19999转/分钟,0
1073,geuwa/钜华,KD-310B,,,,,4-5人,200-400W,,"搅拌,榨汁,干磨,绞肉",1.6L容量,3档,,塑料,15000-19999转/分钟,0
1074,艾米兔,AMT-598,,,,,4-5人,200-400W,,"绞肉,搅拌,辅食,干磨,果汁",,3档,,塑料,30000-34999转/分钟,0
1075,jinxiong/金熊,JX2810,,,,,4-5人,200-400W,,"碎冰,搅拌,榨汁,干磨,碎肉",0.5L,3档,,塑料,30000-34999转/分钟,0
1076,jinxiong/金熊,JX2818,,,,,4-5人,200-400W,,"搅拌,碎肉,制奶昔,混合,碎冰,榨汁",0.5L,3档,,塑料,30000-34999转/分钟,0
1077,joyoung/九阳,JYL-C022E,,,,,2-4人,200-400W,,"搅拌,碎肉,制奶昔,绞肉,辅食,豆浆,碎冰,榨汁,干磨",,3档,,塑料,20000-24999转/分钟,0
1078,joyoung/九阳,JYL-C025,,,,,2-4人,200-400W,,"搅拌,制奶昔,干磨,榨汁,碎肉",1.2L容量,3档,,食品级PC材料,20000-24999转/分钟,0
1079,royalstar/荣事达,RZ-283,,圆形,塑料,,2-4人,200-400W,,"搅拌,辅食,奶昔,豆浆,果汁",1.15L容量,3档,,食品级PC材料,20000-24999转/分钟,0
1080,jinxiong/金熊,JX2938,,,,,2-5人,200-400W,,"研磨,绞肉,辅食,奶昔,豆浆,榨汁",0.75L容量,3档,,食品级PC材料,30000-34999转/分钟,0
1081,优阳,XF-838,,圆形,塑料,,1-3人,200-400W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",1.5L容量,3档,,食品级PC材料,20000-24999转/分钟,0
1082,royalstar/荣事达,RZ-228B,,,,,1-3人,200-400W,,"搅拌,和面,碎肉,制奶昔,打蛋,绞肉,碎冰,榨汁,干磨",1.2L容量,3档,,食品级PC材料,20000-24999转/分钟,0
1083,supor/苏泊尔,ZQ10-250,,,,,1-3人,200-400W,,榨汁,0.5L,3档,,食品级PC材料,20000-24999转/分钟,0
1084,多乐欣,DL-3366,,圆形,塑料,,1-3人,200-400W,,"搅拌,制奶昔,干磨,榨汁,碎肉",1.25L容量,3档,,食品级PC材料,20000-24999转/分钟,0
1085,peskoe/半球,HB-J303,,,,,4-5人,200-400W,,"搅拌,碎肉,制奶昔,绞肉,碎冰,榨汁,干磨",1.5L容量,3档,,食品级PC材料,20000-24999转/分钟,0
1086,deerma/德尔玛,FP-4116,,,,,4-5人,200-400W,,"绞肉,搅拌,切菜,干磨,碎肉",1.8L容量,3档,,食品级PC材料,20000-24999转/分钟,0
1087,ouke/欧科,OK1013,,圆形,塑料,,4-5人,200-400W,,"搅拌,和面,碎肉,制奶昔,混合,碎冰,干磨",1L容量,3档,,食品级PC材料,20000-24999转/分钟,0
1088,多乐欣,DL-BL04PP-A,,,,,4-5人,200-400W,,"碎冰,碎肉,搅拌",,3档,,食品级PC材料,20000-24999转/分钟,0
1089,喜乐多,XLD-L01,,,塑料,,4-5人,200-400W,,"搅拌,绞肉,辅食,奶昔,榨汁,干磨",1.5L容量,3档,,食品级PC材料,15000-19999转/分钟,0
1090,汉宝,HB-J809,,,,,4-5人,200-400W,,"搅拌,制奶昔,干磨,榨汁,绞肉",1.5L容量,3档,,食品级PC材料,15000-19999转/分钟,0
1091,福菱,FL-008,,,,,4-5人,200-400W,,"搅拌,制奶昔,碎肉,切菜,混合,绞肉,碎冰,榨汁,干磨",0.45L,3档,,食品级PC材料,30000-34999转/分钟,0
1092,福菱,FL-001,,,,,4-5人,200-400W,,"搅拌,制奶昔,辅食,豆浆,碎冰,沙冰,榨汁,干磨",0.45L,3档,,食品级PC材料,30000-34999转/分钟,0
1093,福菱,FL-007,,,,,4-5人,200-400W,,"绞肉,搅拌,干磨,果汁",0.45L,3档,,食品级PC材料,30000-34999转/分钟,0
1094,fore/福尔,FE316A,,,,,4-5人,200-400W,,"打蛋,搅拌,榨汁,和面,混合",0.45L,3档,,食品级PC材料,30000-34999转/分钟,0
1095,jinxiong/金熊,JX2812,,,,,4-5人,200-400W,,"切片,搅拌,切丝",,3档,,食品级PC材料,30000-34999转/分钟,0
1096,福菱,FL-118,,,,,4-5人,200-400W,,"碎冰,碎肉,榨汁,切菜,干磨",,3档,,食品级PC材料,30000-34999转/分钟,0
1097,福菱,FL1618,,,,,4-5人,200-400W,,"绞肉,搅拌,碎肉,制奶昔,混合,碎冰,打豆浆,榨汁,干磨",0.45L,3档,,食品级PC材料,30000-34999转/分钟,0
1098,福菱,FL1628,,,,,4-5人,200-400W,,"搅拌,制奶昔,切丝/切片,碎肉,切菜,混合,绞肉,碎冰,榨汁,干磨",0.45L,3档,,食品级PC材料,30000-34999转/分钟,0
1099,supor/苏泊尔,JS36D-300,,,,,4-5人,200-400W,,"搅拌,切丝/切片,碎肉,制奶昔,绞肉,豆浆,碎冰,榨汁,干磨",1.5L容量,3档,,食品级PC材料,0-4999转/分钟,0
1100,福菱,FL-005,,,,,5人以上,200-400W,,"搅拌,制奶昔,切丝/切片,碎肉,切菜,混合,绞肉,碎冰,榨汁,干磨",1.15L容量,3档,,食品级PC材料,30000-34999转/分钟,0
1101,福菱,FL1688,,,,,5人以上,200-400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.15L容量,3档,,食品级PC材料,30000-34999转/分钟,0
1102,福菱,FL-1608,,,,,5人以上,200-400W,,"搅拌,制奶昔,碎肉,切菜,混合,绞肉,碎冰,榨汁,干磨",0.45L,3档,,食品级PC材料,30000-34999转/分钟,0
1103,jinxiong/金熊,JX2988,,,,,2-3人,200-400W,,"搅拌,干磨,混合",0.48L,3档,,食品级PC材料,20000-24999转/分钟,0
1104,jinxiong/金熊,JX2598,,,,,2-3人,200-400W,,"搅拌,切丝/切片,碎肉,制奶昔,混合,辅食,碎冰,榨汁,干磨",0.5L,3档,,食品级PC材料,30000-34999转/分钟,0
1105,colvp/口吕品,QDJ-800F,,,,,1-3人,200-400W,,"碎冰,碎肉,榨汁,干磨,搅拌",,3档,,食品级材料,20000-24999转/分钟,0
1106,宇美乐,LH510,,,,,1-3人,200-400W,,"搅拌,碎肉,制奶昔,碎冰,榨汁,干磨",1.5L容量,3档,,食品级材料,20000-24999转/分钟,0
1107,supor/苏泊尔,JS40-350,,,,,1-3人,200-400W,,"绞肉,搅拌,榨汁,干磨,碎肉",1.25L容量,3档,,食品级材料,20000-24999转/分钟,0
1108,royalstar/荣事达,RZ-708H,,,,,1-3人,200-400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1L容量,3档,,食品级材料,15000-19999转/分钟,0
1109,weking/威王,WJ-6813,,,,,4-5人,200-400W,,"搅拌,和面,碎肉,制奶昔,混合,打蛋,绞肉,榨汁,干磨",1.2L容量,3档,,食品级材料,20000-24999转/分钟,0
1110,herpusi/惠尔普斯,HC-250C,,,,,4-5人,200-400W,,"搅拌,切菜,切丝/切片,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",,3档,,食品级材料,15000-19999转/分钟,0
1111,royalstar/荣事达,RZ-228K,,圆形,塑料,,4-5人,200-400W,,"搅拌,制奶昔,和面,碎肉,切菜,打蛋,绞肉,碎冰,榨汁,干磨",1.2L容量,3档,,食品级材料,15000-19999转/分钟,0
1112,good kung fu/好功夫,ZN5912,,,,,4-5人,200-400W,,"搅拌,制奶昔,干磨,榨汁,混合",0.45L,3档,,食品级材料,30000-34999转/分钟,0
1113,good kung fu/好功夫,ZN-5918,,,,,4-5人,200-400W,,"碎冰,碎肉,切菜,干磨,榨汁",1L容量,3档,,食品级材料,30000-34999转/分钟,0
1114,midea/美的,MJ-WBL3541F,,,,,5人以上,200-400W,,"冰沙,绞肉,磨粉,奶昔,豆浆,果汁",1L容量,3档,,食品级材料,15000-19999转/分钟,0
1115,good kung fu/好功夫,ZN5988,,圆形,塑料,,5人以上,200-400W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,切丝/切片,榨汁,干磨",1L容量,3档,,食品级材料,30000-34999转/分钟,0
1116,haier/海尔,EHW-Z301,,,,,2-3人,200-400W,,"酱料,制奶昔,打蛋,碎冰,榨汁,干磨",0.3L,3档,,食品级材料,15000-19999转/分钟,0
1117,midea/美的,MJ-BL25C5,,,,,4-5人,200-400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",,3档,,不锈钢,15000-19999转/分钟,0
1118,royalstar/荣事达,RZ-298B,,,,,1-3人,200-400W,,"绞肉,制奶昔,干磨,榨汁",1.2L容量,3档,,食品级ABS材料,25000-29999转/分钟,0
1119,donlim/东菱,DL-1009,,,,,5人以上,200-400W,,"搅拌,碎肉,切菜,碎冰,榨汁,干磨",1.5L容量,3档,,食品级ABS材料,30000-34999转/分钟,0
1120,philips/飞利浦,HR2104,,,,,1-3人,200-400W,,"搅拌,榨汁,研磨",1.5L容量,3档,,SAN,10000-14999转/分钟,0
1121,philips/飞利浦,HR2003,,,,,4-5人,200-400W,,"搅拌,制奶昔,干磨,榨汁,碎肉",1.5L容量,3档,,SAN,0-4999转/分钟,0
1122,philips/飞利浦,HR2100,,,,,4-5人,200-400W,,"绞肉,辅食,磨粉,豆浆,果汁",1.5L容量,3档,,SAN,0-4999转/分钟,0
1123,royalstar/荣事达,RZ-218A,,,,,2-5人,200-400W,,"搅拌,切菜,碎肉,制奶昔,绞肉,碎冰,榨汁,干磨",,3档,,食品级PP材料,10000-14999转/分钟,0
1124,jinxiong/金熊,JX2568,,,,,5人以上,200-400W,,"碎肉,搅拌,制奶昔,混合,绞肉,辅食,榨汁,干磨",,3档,,,30000-34999转/分钟,0
1125,jinxiong/金熊,JX3288,,,,,1-3人,200-400W,,"碎冰,搅拌,制奶昔,干磨,榨汁",,3档,,食品级PC材料,30000-34999转/分钟,0
1126,jinxiong/金熊,JX2918,,,,,4-5人,200-400W,,"搅拌,碎肉,制奶昔,混合,绞肉,辅食,碎冰,榨汁,干磨",0.5L,3档,,食品级PC材料,30000-34999转/分钟,0
1127,jinxiong/金熊,JX2618,,,,,5人以上,200-400W,,"碎冰,搅拌,榨汁,干磨,碎肉",0.6L容量,3档,,塑料,30000-34999转/分钟,0
1128,西贝乐,2119F,,,,,3-5人,200-400W,,"搅拌,碎肉,制奶昔,混合,绞肉,辅食,碎冰,榨汁,干磨",1L容量,3档,,食品级PC材料,25000-29999转/分钟,0
1129,狮威特,BR66,,圆形,塑料,,1-3人,400-600W,,"搅拌,碎肉,制奶昔,绞肉,榨汁,干磨",0.6L容量,3档,,Tritan材料,20000-24999转/分钟,0
1130,kesun/科顺,KB40SA-1,,,,,3-4人,400-600W,,"碎冰,搅拌,制奶昔,榨汁,混合",1.5L容量,3档,,玻璃,20000-24999转/分钟,0
1131,murenking/牧人王,BL-166B,,,,,1-3人,400-600W,,"碎冰,搅拌,制奶昔,榨汁,混合",1.5L容量,3档,,玻璃,15000-19999转/分钟,0
1132,murenking/牧人王,BL-181B,,,,,1-3人,400-600W,,"碎冰,搅拌,制奶昔,榨汁,混合",1.5L容量,3档,,玻璃,10000-14999转/分钟,0
1133,skg,1290,,圆形,塑料,,4-5人,400-600W,,"搅拌,混合,绞肉,碎冰,榨汁,干磨",1.5L容量,3档,,玻璃,15000-19999转/分钟,0
1134,hamilton beach/汉美驰,59769-CN,,,,,1-3人,400-600W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,绞肉,榨汁",0.7L容量,3档,,塑料,25000-29999转/分钟,0
1135,electrolux/伊莱克斯,EBR2501,,,,,4-5人,400-600W,,"搅拌,榨汁,混合",,3档,,塑料,20000-24999转/分钟,0
1136,chigo/志高,ZG-L6002A,,,,,2-4人,400-600W,,"碎肉,搅拌,混合",,3档,,食品级AS材料,20000-24999转/分钟,0
1137,kesun/科顺,XF-858,,圆形,塑料,,1-3人,400-600W,,"搅拌,制奶昔,碎肉,切菜,碎冰,榨汁,干磨",1.5L容量,3档,,食品级PC材料,20000-24999转/分钟,0
1138,panasonic/松下,XC501,,,,,2-5人,100-200W,,"搅拌,榨汁,碎肉",,3档,,玻璃,10000-14999转/分钟,0
1139,ouke/欧科,OK1083A3,,,,,3-5人,100-200W,,"搅拌,碎肉,制奶昔,打蛋,绞肉,碎冰,榨汁,干磨",1L容量,3档,,塑料,15000-19999转/分钟,0
1140,nintaus/金正,JZM-2003,,,,,4-5人,100-200W,,"搅拌,制奶昔,碎肉,切菜,混合,绞肉,碎冰,榨汁,干磨",1.5L容量,3档,,塑料,15000-19999转/分钟,0
1141,aux/奥克斯,HX-390,,圆形,塑料,,1-4人,100-200W,,"搅拌,碎肉,制奶昔,绞肉,豆浆,碎冰,榨汁,干磨",1.2L容量,3档,,食品级PC材料,20000-24999转/分钟,0
1142,nintaus/金正,JZM-2002,,,,,1-3人,100-200W,,"搅拌,榨汁,研磨,绞肉",1.2L容量,3档,,食品级PC材料,15000-19999转/分钟,0
1143,lifecode/莱科德,LC-628A,,,,,1-3人,100-200W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",1.5L容量,3档,,食品级PC材料,15000-19999转/分钟,0
1144,hanjiaours/汉佳欧斯,PY-891,,,,,4-5人,100-200W,,"搅拌,制奶昔,碎肉,切菜,混合,碎冰,榨汁,干磨",1.5L容量,3档,,食品级PC材料,15000-19999转/分钟,0
1145,honguo/红果,HG-JB-663,,,,,5人以上,100-200W,,"搅拌,制奶昔,干磨,榨汁,豆浆",1L容量,3档,,食品级PC材料,15000-19999转/分钟,0
1146,bear/小熊,LLJ-B12U3,,圆形,塑料,,1-5人,100-200W,,"面膜,搅拌,辅食,制奶昔,榨汁",1.2L容量,3档,,食品级材料,15000-19999转/分钟,0
1147,bear/小熊,LLJ-B12K1,,圆形,塑料,,1-5人,100-200W,,"搅拌,制奶昔,绞肉,辅食,豆浆,榨汁,干磨",1.2L容量,3档,,食品级材料,15000-19999转/分钟,0
1148,bear/小熊,LLJ-B12C8,,圆形,塑料,,1-5人,100-200W,,"搅拌,绞肉,辅食,豆浆,榨汁,干磨",1.2L容量,3档,,食品级材料,15000-19999转/分钟,0
1149,bear/小熊,LLJ-B12R5,,圆形,塑料,,1-5人,100-200W,,"搅拌,制奶昔,混合,辅食,榨汁,干磨",1.2L容量,3档,,食品级材料,15000-19999转/分钟,0
1150,royalstar/荣事达,RZ-298D,,,,,1-3人,100-200W,,"绞肉,制奶昔,干磨,榨汁",1L容量,3档,,食品级材料,20000-24999转/分钟,0
1151,aux/奥克斯,HX-366,,,,,1-4人,100-200W,,"搅拌,制奶昔,绞肉,辅食,豆浆,榨汁,干磨",1.2L容量,3档,,食品级PP材料,20000-24999转/分钟,0
1152,rota/润唐,RBK3,,,,,1-3人,400-600W,,"碎冰,搅拌,榨汁,绞肉,碎肉",0.25L,无速度选择,,塑料,0-4999转/分钟,0
1153,闪亮,BL-0193,,,,,4-5人,1200-1400W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,3档,,食品级PC材料,25000-29999转/分钟,0
1154,小厨师,PB-F002H,,,,,4-5人,1200-1400W,,"搅拌,制奶昔,碎肉,切菜,混合,绞肉,碎冰,榨汁,干磨",1.7L容量,3档,,不锈钢,30000-34999转/分钟,0
1155,russell hobbs/领豪,20230-56C,,,,,4-5人,600-800W,,"搅拌,制奶昔,碎肉,切菜,混合,绞肉,碎冰,榨汁,干磨",1.5L容量,3档,,Tritan材料,20000-24999转/分钟,0
1156,bosch/博世,MCMV500MCN,,,,,4-5人,600-800W,,"搅拌,和面,切菜,打蛋,绞肉,辅食,研磨",2.3L容量,3档,,塑料,0-4999转/分钟,0
1157,申花,JR-1303-3,,,,,,600-800W,,"搅拌,切丝/切片,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",0.5L,3档,,塑料,15000-19999转/分钟,0
1158,nuc/恩优希,CFM-1335,,,,,4-5人,600-800W,,"碎冰,搅拌,碎肉,混合",3.5L容量,3档,,不锈钢,15000-19999转/分钟,0
1159,philips/飞利浦,HR7629/90,,,,,5人以上,600-800W,,"搅拌,制奶昔,和面,切菜,切片,榨汁",2L容量,3档,,SAN,0-4999转/分钟,0
1160,guge/谷格,AD-G858,,,,,4-5人,2000-2200W,,"搅拌,制奶昔,混合,绞肉,碎冰,榨汁,干磨",2L容量,3档,,Tritan材料,45000-49999转/分钟,0
1161,kps/祈和,KS-1050,,,,,4-5人,2000-2200W,,"搅拌,制奶昔,碎肉,切菜,碎冰,榨汁,干磨",2L容量,3档,,共聚聚酯,35000-39999转/分钟,0
1162,yisuo/诣索,JC-Z101,,,,,4-5人,50-100W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",1L容量,3档,,食品级材料,5000-9999转/分钟,0
1163,汉宝,HB-K800,,,,,2-5人,1400W-1600W,,"搅拌,碎肉,制奶昔,混合,打蛋,碎冰,干磨",2L容量,无级变速,,,40000-44999转/分钟,0
1164,aucma/澳柯玛,SZ20020T1,,,,,1-3人,1800-2000W,,"碎肉,碾磨,绞肉,碎冰,榨汁,干磨",2L容量,无级变速,,Tritan材料,35000-39999转/分钟,0
1165,westinghouse/西屋,HS0401,,,,,4-5人,1400W-1600W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,果汁,碎冰,榨汁",2L容量,无级变速,,Tritan材料,45000-49999转/分钟,0
1166,特缤,TB-878,,,,,1-3人,1400W-1600W,,"搅拌,制奶昔,打蛋,碎冰,打豆浆,榨汁",2L容量,无级变速,,食品级PC材料,40000-44999转/分钟,0
1167,nathome/北欧欧慕,NPB1502,,,,,4-5人,1400W-1600W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,无级变速,,食品级PC材料,45000-49999转/分钟,0
1168,kps/祈和,KS-996,,,,,4-5人,1400W-1600W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",3L容量,无级变速,,食品级PC材料,35000-39999转/分钟,0
1169,韩泽,HZ-33,,,,,4-5人,1400W-1600W,,"搅拌,碎肉,制奶昔,混合,绞肉,磨粉,碎冰,榨汁,干磨",2L容量,无级变速,,食品级PC材料,35000-39999转/分钟,0
1170,fronton/弗朗顿,MNS-PB105,,,,,4-5人,1400W-1600W,,"搅拌,碎肉,制奶昔,打蛋,绞肉,碎冰,榨汁,干磨",2L容量,无级变速,,食品级PC材料,40000-44999转/分钟,0
1171,royalstar/荣事达,RZ-528G,,,,,5人以上,1400W-1600W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.75L容量,无级变速,,食品级PC材料,30000-34999转/分钟,0
1172,sande/三的,SD-PB767,,,,,4-5人,1400W-1600W,,"碎肉,切菜,榨汁",2L容量,无级变速,,食品级材料,45000-49999转/分钟,0
1173,bestday/贝尔斯顿,PBJ-B11,,,,,5人以上,1400W-1600W,,"碎肉,榨汁",,无级变速,,食品级材料,45000-49999转/分钟,0
1174,kenwood/凯伍德,KMM020,,,,,5人以上,1400W-1600W,,"打蛋,搅拌,和面,混合",6.7L容量,无级变速,,不锈钢,10000-14999转/分钟,0
1175,阿帕其,AMB-A1500P,,,,,5人以上,1400W-1600W,,"搅拌,碎肉,制奶昔,辅食,碎冰,榨汁,干磨",2L容量,无级变速,,聚碳酸酯材料,25000-29999转/分钟,0
1176,happy boy/快乐小贝,KJ-386,,,,,4-5人,200-400W,,"搅拌,碎肉,制奶昔,混合,绞肉,碎冰,榨汁,干磨",1.5L容量,无级变速,,玻璃,10000-14999转/分钟,0
1177,sande/三的,SD-LL08,,,,,5人以上,200-400W,,"搅拌,制奶昔,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",1.5L容量,无级变速,,玻璃,15000-19999转/分钟,0
1178,aca/北美电器,AHM-S300,,,,,4-5人,200-400W,,"打蛋,搅拌,制奶昔,切丝/切片,碎肉",1L容量,无级变速,,食品级材料,15000-19999转/分钟,0
1179,优阳,JHB-138,,,,,5人以上,200-400W,,"搅拌,制奶昔,和面,碎肉,切丝,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",0.8L容量,无级变速,,食品级材料,15000-19999转/分钟,0
1180,ouke/欧科,OKHB-1098C1,,,,,1-3人,200-400W,,"搅拌,制奶昔,和面,碎肉,切菜,混合,打蛋,绞肉,碎冰,榨汁,干磨",0.7L容量,无级变速,,食品级AS材料,10000-14999转/分钟,0
1181,chigo/志高,ZG-L24F,,,,,1-3人,200-400W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁",0.7L容量,无级变速,,食品级ABS材料,20000-24999转/分钟,0
1182,skg,1260C,,,,,1-3人,200-400W,,"搅拌,制奶昔,碎肉,切菜,打蛋,绞肉,榨汁,干磨",0.7L容量,无级变速,,食品级ABS材料,15000-19999转/分钟,0
1183,skg,1293,,,,,1-3人,200-400W,,"打蛋,碎肉,切菜,榨汁,制奶昔",0.7L容量,无级变速,,食品级ABS材料,15000-19999转/分钟,0
1184,aca/北美电器,AHM-PE350A,,,,,4-5人,200-400W,,"搅拌,切菜,碎肉,制奶昔,打蛋,绞肉,榨汁",,无级变速,,食品级ABS材料,15000-19999转/分钟,0
1185,杰博士,BH-1860,,,,,4-5人,200-400W,,"搅拌,碎肉,制奶昔,混合,打蛋,绞肉,碎冰,榨汁,干磨",,无级变速,,食品级ABS材料,10000-14999转/分钟,0
1186,优阳,JHB-108,,,,,5人以上,200-400W,,"搅拌,碎肉,切菜,碎冰,榨汁,干磨",0.8L容量,无级变速,,食品级ABS材料,10000-14999转/分钟,0
1187,midea/美的,MJ-WBH3041A,,,,,2-3人,200-400W,,"打蛋,搅拌,榨汁,碎肉,混合",0.6L容量,无级变速,,食品级ABS材料,10000-14999转/分钟,0
1188,kps/祈和,K7,,,,,4-5人,2200-2400W,,"搅拌,碎肉,混合,绞肉,碎冰,榨汁,干磨",2L容量,无级变速,,Tritan材料,35000-39999转/分钟,0
